Entity,Year,Share of the population that was born in this country but now lives in another country.
"Less developed regions, excluding China",2005,2.9928932
"Less developed regions, excluding China",2010,3.2836719
"Less developed regions, excluding China",2015,3.4812386
"Less developed regions, excluding China",2020,3.693144
"Less developed regions, excluding least developed countries",1990,1.7058114
"Less developed regions, excluding least developed countries",1995,1.8197883
"Less developed regions, excluding least developed countries",2000,1.9461995
"Less developed regions, excluding least developed countries",2005,2.1166916
"Less developed regions, excluding least developed countries",2010,2.3772898
"Less developed regions, excluding least developed countries",2015,2.5654764
"Less developed regions, excluding least developed countries",2020,2.754748
Liberia,1990,24.898779
Liberia,1995,26.522541
Liberia,2000,8.720963
Liberia,2005,11.024842
Liberia,2010,5.6314287
Liberia,2015,4.600413
Liberia,2020,4.6180096
Libya,1990,1.718386
Libya,1995,1.5639764
Libya,2000,1.4933856
Libya,2005,1.7288265
Libya,2010,2.055596
Libya,2015,2.3766985
Libya,2020,2.6999018
Liechtenstein,1990,11.896491
Liechtenstein,1995,9.77205
Liechtenstein,2000,8.100289
Liechtenstein,2005,8.453829
Liechtenstein,2010,9.9733305
Liechtenstein,2015,9.438142
Liechtenstein,2020,9.717597
Lithuania,1990,9.225373
Lithuania,1995,9.441024
Lithuania,2000,9.9537325
Lithuania,2005,12.330713
Lithuania,2010,16.574104
Lithuania,2015,18.973951
Lithuania,2020,24.17291
Low-income countries,1990,6.9687257
Low-income countries,1995,5.4050374
Low-income countries,2000,4.4809155
Low-income countries,2005,4.0212755
Low-income countries,2010,4.088133
Low-income countries,2015,5.2052636
Low-income countries,2020,5.4540534
Lower-middle-income countries,1990,2.4180262
Lower-middle-income countries,1995,2.3390114
Lower-middle-income countries,2000,2.3314917
Lower-middle-income countries,2005,2.4741247
Lower-middle-income countries,2010,2.761582
Lower-middle-income countries,2015,2.9231486
Lower-middle-income countries,2020,3.0379617
Luxembourg,1990,9.457803
Luxembourg,1995,9.279791
Luxembourg,2000,9.117508
Luxembourg,2005,11.533523
Luxembourg,2010,12.216818
Luxembourg,2015,12.239452
Luxembourg,2020,13.060724
Macao,1990,25.147171
Macao,1995,23.370436
Macao,2000,22.09518
Macao,2005,22.406149
Macao,2010,22.964613
Macao,2015,22.138771
Macao,2020,22.359867
Madagascar,1990,0.512258
Madagascar,1995,0.49960658
Madagascar,2000,0.48893225
Madagascar,2005,0.8115136
Madagascar,2010,0.7603145
Madagascar,2015,0.72570527
Madagascar,2020,0.6988764
Malawi,1990,1.5251849
Malawi,1995,1.5320865
Malawi,2000,1.6704024
Malawi,2005,1.7584656
Malawi,2010,1.7918707
Malawi,2015,1.7764442
Malawi,2020,1.6259944
Malaysia,1990,3.1079228
Malaysia,1995,4.2035565
Malaysia,2000,5.178589
Malaysia,2005,5.368906
Malaysia,2010,5.6688156
Malaysia,2015,5.8836513
Malaysia,2020,5.746886
Maldives,1990,0.9822593
Maldives,1995,0.6637969
Maldives,2000,0.43522456
Maldives,2005,0.6921065
Maldives,2010,0.96874744
Maldives,2015,0.7926773
Maldives,2020,0.68727314
Mali,1990,7.6619234
Mali,1995,8.5603285
Mali,2000,7.060427
Mali,2005,7.0084095
Mali,2010,6.610464
Mali,2015,7.0449
Mali,2020,6.436826
Malta,1990,30.58917
Malta,1995,29.143284
Malta,2000,26.640232
Malta,2005,24.77271
Malta,2010,23.96918
Malta,2015,21.578148
Malta,2020,23.280617
Marshall Islands,1990,3.0170317
Marshall Islands,1995,8.233242
Marshall Islands,2000,13.744729
Marshall Islands,2005,12.041913
Marshall Islands,2010,11.518603
Marshall Islands,2015,13.273797
Marshall Islands,2020,18.390377
Martinique,1990,3.0787513
Martinique,1995,3.390304
Martinique,2000,3.622331
Martinique,2005,3.6103537
Martinique,2010,3.7087057
Martinique,2015,3.3488955
Martinique,2020,3.4543588
Mauritania,1990,6.6103764
Mauritania,1995,6.5572286
Mauritania,2000,4.091183
Mauritania,2005,3.4093997
Mauritania,2010,3.2680442
Mauritania,2015,2.8329558
Mauritania,2020,2.8007638
Mauritius,1990,10.484918
Mauritius,1995,10.106797
Mauritius,2000,10.041202
Mauritius,2005,10.69132
Mauritius,2010,11.874326
Mauritius,2015,13.169882
Mauritius,2020,14.387305
Mayotte,1990,1.936083
Mayotte,1995,3.19598
Mayotte,2000,4.1335454
Mayotte,2005,3.6316066
Mayotte,2010,3.0385787
Mayotte,2015,2.7269583
Mayotte,2020,2.4804537
Melanesia,1990,1.7494317
Melanesia,1995,1.8449179
Melanesia,2000,2.0120578
Melanesia,2005,2.1503496
Melanesia,2010,2.223329
Melanesia,2015,2.2700574
Melanesia,2020,2.3017282
Mexico,1990,5.23611
Mexico,1995,7.581308
Mexico,2000,9.669255
Mexico,2005,10.204981
Mexico,2010,10.881672
Mexico,2015,9.784512
Mexico,2020,8.675636
Micronesia,1990,5.149197
Micronesia,1995,6.408599
Micronesia,2000,8.051916
Micronesia,2005,8.013711
Micronesia,2010,7.7505064
Micronesia,2015,8.022167
Micronesia,2020,9.290488
Micronesia (country),1990,8.009013
Micronesia (country),1995,11.287487
Micronesia (country),2000,15.74787
Micronesia (country),2005,17.285532
Micronesia (country),2010,18.854212
Micronesia (country),2015,18.949177
Micronesia (country),2020,21.687344
Middle Africa,1990,2.7129204
Middle Africa,1995,2.2173655
Middle Africa,2000,2.5379453
Middle Africa,2005,2.4342458
Middle Africa,2010,2.284983
Middle Africa,2015,2.4752982
Middle Africa,2020,2.4614599
Middle-income countries,1990,2.22867
Middle-income countries,1995,2.2867904
Middle-income countries,2000,2.3677547
Middle-income countries,2005,2.5076566
Middle-income countries,2010,2.7565749
Middle-income countries,2015,2.840515
Middle-income countries,2020,3.0234413
Moldova,1990,14.332175
Moldova,1995,14.284424
Moldova,2000,14.342657
Moldova,2005,17.202335
Moldova,2010,20.249407
Moldova,2015,22.840244
Moldova,2020,28.742035
Monaco,1990,15.204022
Monaco,1995,15.567342
Monaco,2000,15.938784
Monaco,2005,56.447613
Monaco,2010,75.69434
Monaco,2015,77.716515
Monaco,2020,82.947716
Mongolia,1990,1.1201669
Mongolia,1995,1.2051259
Mongolia,2000,1.2783759
Mongolia,2005,1.6764374
Mongolia,2010,2.110554
Mongolia,2015,2.183974
Mongolia,2020,2.5042918
Montenegro,1990,12.582682
Montenegro,1995,23.313276
Montenegro,2000,29.899538
Montenegro,2005,24.012959
Montenegro,2010,23.828129
Montenegro,2015,21.377544
Montenegro,2020,21.170681
Montserrat,1990,67.61492
Montserrat,1995,117.64826
Montserrat,2000,327.55328
Montserrat,2005,326.51797
Montserrat,2010,355.01532
Montserrat,2015,405.47723
Montserrat,2020,491.73834
Morocco,1990,7.046735
Morocco,1995,6.978981
Morocco,2000,7.213425
Morocco,2005,8.11233
Morocco,2010,8.844783
Morocco,2015,8.57317
Morocco,2020,8.8381815
Mozambique,1990,17.111757
Mozambique,1995,5.2487917
Mozambique,2000,3.6383452
Mozambique,2005,3.2348654
Mozambique,2010,3.3903735
Mozambique,2015,2.2074883
Mozambique,2020,2.0481558
Myanmar,1990,1.6579288
Myanmar,1995,2.076109
Myanmar,2000,2.6205435
Myanmar,2005,3.5476863
Myanmar,2010,4.925362
Myanmar,2015,5.3957005
Myanmar,2020,6.8218436
Namibia,1990,1.1219912
Namibia,1995,1.7335579
Namibia,2000,2.749831
Namibia,2005,3.3842778
Namibia,2010,4.7005563
Namibia,2015,2.1776311
Namibia,2020,1.8800306
Nauru,1990,14.927415
Nauru,1995,14.219837
Nauru,2000,15.413643
Nauru,2005,18.978474
Nauru,2010,21.280848
Nauru,2015,21.852709
Nauru,2020,22.650915
Nepal,1990,3.956805
Nepal,1995,3.9674873
Nepal,2000,4.0825024
Nepal,2005,5.009338
Nepal,2010,6.340221
Nepal,2015,8.403343
Nepal,2020,8.922395
Netherlands,1990,4.787503
Netherlands,1995,4.69914
Netherlands,2000,4.69435
Netherlands,2005,4.8301253
Netherlands,2010,5.121331
Netherlands,2015,5.1190686
Netherlands,2020,5.663322
New Caledonia,1990,2.4352012
New Caledonia,1995,2.3797698
New Caledonia,2000,2.2742023
New Caledonia,2005,2.2073162
New Caledonia,2010,2.1208618
New Caledonia,2015,2.0600452
New Caledonia,2020,2.0452483
New Zealand,1990,11.418393
New Zealand,1995,11.345002
New Zealand,2000,12.693056
New Zealand,2005,13.433218
New Zealand,2010,15.155765
New Zealand,2015,15.993926
New Zealand,2020,16.717546
Nicaragua,1990,10.578528
Nicaragua,1995,9.408718
Nicaragua,2000,9.8932
Nicaragua,2005,10.214441
Nicaragua,2010,10.47742
Nicaragua,2015,10.534347
Nicaragua,2020,10.84079
Niger,1990,1.86601
Niger,1995,1.8657703
Niger,2000,1.8111892
Niger,2005,2.23191
Niger,2010,2.0401876
Niger,2015,1.8748091
Niger,2020,1.651229
Nigeria,1990,0.46921697
Nigeria,1995,0.485913
Nigeria,2000,0.49894568
Nigeria,2005,0.5886234
Nigeria,2010,0.6289551
Nigeria,2015,0.7212898
Nigeria,2020,0.8103514
Niue,1990,251.20068
Niue,1995,257.7973
Niue,2000,302.26077
Niue,2005,313.44788
Niue,2010,329.65475
Niue,2015,332.17392
Niue,2020,320.51917
North Korea,1990,0.19407131
North Korea,1995,0.246072
North Korea,2000,0.3155382
North Korea,2005,0.3629618
North Korea,2010,0.39292693
North Korea,2015,0.41255835
North Korea,2020,0.42816943
North Macedonia,1990,21.64443
North Macedonia,1995,24.80725
North Macedonia,2000,26.151268
North Macedonia,2005,22.269886
North Macedonia,2010,25.408875
North Macedonia,2015,27.092989
North Macedonia,2020,33.306263
Northern Africa,1990,3.783079
Northern Africa,1995,3.739312
Northern Africa,2000,3.760146
Northern Africa,2005,4.273343
Northern Africa,2010,4.5585475
Northern Africa,2015,4.8756676
Northern Africa,2020,4.988222
Northern Africa and Western Asia,1990,5.681175
Northern Africa and Western Asia,1995,5.5911694
Northern Africa and Western Asia,2000,5.4616623
Northern Africa and Western Asia,2005,5.578724
Northern Africa and Western Asia,2010,5.8143415
Northern Africa and Western Asia,2015,6.7714834
Northern Africa and Western Asia,2020,7.1431856
Northern America,1990,1.0015306
Northern America,1995,1.000552
Northern America,2000,1.0082103
Northern America,2005,1.0730962
Northern America,2010,1.1564078
Northern America,2015,1.1244538
Northern America,2020,1.1733028
Northern Europe,1990,6.7660832
Northern Europe,1995,6.6564326
Northern Europe,2000,6.799632
Northern Europe,2005,7.0400577
Northern Europe,2010,7.1503
Northern Europe,2015,7.0664806
Northern Europe,2020,7.420182
Northern Mariana Islands,1990,5.501399
Northern Mariana Islands,1995,5.7704043
Northern Mariana Islands,2000,4.8126297
Northern Mariana Islands,2005,4.8190002
Northern Mariana Islands,2010,4.8377833
Northern Mariana Islands,2015,4.673802
Northern Mariana Islands,2020,4.7622356
Norway,1990,3.2559378
Norway,1995,3.4586933
Norway,2000,3.6412613
Norway,2005,3.7575457
Norway,2010,3.6834936
Norway,2015,3.5689263
Norway,2020,3.5304086
Oceania,1990,3.5223188
Oceania,1995,3.6451464
Oceania,2000,3.9676452
Oceania,2005,4.130036
Oceania,2010,4.3152575
Oceania,2015,4.3940783
Oceania,2020,4.616462
Oceania (excluding Australia and New Zealand),1990,3.9268038
Oceania (excluding Australia and New Zealand),1995,4.054351
Oceania (excluding Australia and New Zealand),2000,4.3754034
Oceania (excluding Australia and New Zealand),2005,4.342195
Oceania (excluding Australia and New Zealand),2010,4.2702866
Oceania (excluding Australia and New Zealand),2015,4.377958
Oceania (excluding Australia and New Zealand),2020,4.575064
Oman,1990,0.6900061
Oman,1995,0.62805456
Oman,2000,0.688853
Oman,2005,0.7495857
Oman,2010,0.6823095
Oman,2015,0.5342203
Oman,2020,0.49149907
Pakistan,1990,3.1037161
Pakistan,1995,2.6985316
Pakistan,2000,2.393107
Pakistan,2005,2.356666
Pakistan,2010,2.66997
Pakistan,2015,2.9074354
Pakistan,2020,2.8649251
Palau,1990,19.630884
Palau,1995,16.575357
Palau,2000,20.927555
Palau,2005,19.116457
Palau,2010,14.587278
Palau,2015,14.486272
Palau,2020,14.680523
Palestine,1990,86.25841
Palestine,1995,86.860435
Palestine,2000,85.83509
Palestine,2005,91.060425
Palestine,2010,87.28375
Palestine,2015,83.32644
Palestine,2020,78.85636
Panama,1990,5.4388885
Panama,1995,4.8538017
Panama,2000,4.5186124
Panama,2005,3.9461935
Panama,2010,3.83903
Panama,2015,3.7850668
Panama,2020,3.2335458
Papua New Guinea,1990,0.06731165
Papua New Guinea,1995,0.078252375
Papua New Guinea,2000,0.07784404
Papua New Guinea,2005,0.06917734
Papua New Guinea,2010,0.057875562
Papua New Guinea,2015,0.061422545
Papua New Guinea,2020,0.05376087
Paraguay,1990,7.0497956
Paraguay,1995,7.030697
Paraguay,2000,7.0385265
Paraguay,2005,9.369661
Paraguay,2010,12.256865
Paraguay,2015,12.641995
Paraguay,2020,12.568949
Peru,1990,1.4190695
Peru,1995,2.0802112
Peru,2000,2.6233768
Peru,2005,3.4773455
Peru,2010,4.475366
Peru,2015,4.6280437
Peru,2020,4.6088862
Philippines,1990,3.251464
Philippines,1995,3.5566318
Philippines,2000,3.9269085
Philippines,2005,4.268143
Philippines,2010,4.9939938
Philippines,2015,5.3844476
Philippines,2020,5.561459
Poland,1990,4.408371
Poland,1995,4.61736
Poland,2000,5.310688
Poland,2005,7.518205
Poland,2010,9.695692
Poland,2015,10.719436
Poland,2020,12.749085
Polynesia,1990,26.649307
Polynesia,1995,27.526558
Polynesia,2000,30.1386
Polynesia,2005,29.446392
Polynesia,2010,30.236387
Polynesia,2015,33.507694
Polynesia,2020,37.76986
Portugal,1990,18.916637
Portugal,1995,19.03482
Portugal,2000,19.362633
Portugal,2005,16.586668
Portugal,2010,18.18976
Portugal,2015,19.0161
Portugal,2020,20.412659
Puerto Rico,1990,35.268463
Puerto Rico,1995,39.398563
Puerto Rico,2000,43.61073
Puerto Rico,2005,45.15603
Puerto Rico,2010,48.376938
Puerto Rico,2015,50.74112
Puerto Rico,2020,64.684814
Qatar,1990,2.5562963
Qatar,1995,2.590725
Qatar,2000,2.4777753
Qatar,2005,1.9795243
Qatar,2010,1.1137035
Qatar,2015,0.9188107
Qatar,2020,0.8922063
Reunion,1990,0.50558156
Reunion,1995,0.38943318
Reunion,2000,0.3203414
Reunion,2005,0.32289115
Reunion,2010,0.33100262
Reunion,2015,0.33670813
Reunion,2020,0.3422286
Romania,1990,3.4562886
Romania,1995,4.25318
Romania,2000,5.144343
Romania,2005,9.832739
Romania,2010,16.429192
Romania,2015,17.167793
Romania,2020,20.725433
Russia,1990,8.5766945
Russia,1995,7.8176866
Russia,2000,7.2844315
Russia,2005,7.171153
Russia,2010,7.052364
Russia,2015,7.0214124
Russia,2020,7.3709097
Rwanda,1990,7.514416
Rwanda,1995,35.301403
Rwanda,2000,4.01072
Rwanda,2005,3.2702806
Rwanda,2010,3.329343
Rwanda,2015,4.430153
Rwanda,2020,3.8023553
Saint Barthelemy,1990,0
Saint Barthelemy,1995,0
Saint Barthelemy,2000,0
Saint Barthelemy,2005,0
Saint Barthelemy,2010,0
Saint Barthelemy,2015,0
Saint Barthelemy,2020,0
Saint Helena,1990,13.285242
Saint Helena,1995,35.345932
Saint Helena,2000,61.364388
Saint Helena,2005,61.038475
Saint Helena,2010,69.592896
Saint Helena,2015,73.010735
Saint Helena,2020,80.4645
Saint Kitts and Nevis,1990,46.24441
Saint Kitts and Nevis,1995,58.611595
Saint Kitts and Nevis,2000,70.02019
Saint Kitts and Nevis,2005,71.11116
Saint Kitts and Nevis,2010,73.03462
Saint Kitts and Nevis,2015,78.530975
Saint Kitts and Nevis,2020,94.53489
Saint Lucia,1990,15.93911
Saint Lucia,1995,20.883633
Saint Lucia,2000,25.23718
Saint Lucia,2005,28.69933
Saint Lucia,2010,28.903109
Saint Lucia,2015,32.344486
Saint Lucia,2020,38.788536
Saint Martin (French part),1990,0
Saint Martin (French part),1995,0
Saint Martin (French part),2000,0
Saint Martin (French part),2005,0
Saint Martin (French part),2010,0
Saint Martin (French part),2015,0
Saint Martin (French part),2020,0
Saint Pierre and Miquelon,1990,7.5646043
Saint Pierre and Miquelon,1995,7.465957
Saint Pierre and Miquelon,2000,7.6849794
Saint Pierre and Miquelon,2005,6.9687552
Saint Pierre and Miquelon,2010,6.1311116
Saint Pierre and Miquelon,2015,6.675567
Saint Pierre and Miquelon,2020,7.4719586
Saint Vincent and the Grenadines,1990,34.43143
Saint Vincent and the Grenadines,1995,42.269283
Saint Vincent and the Grenadines,2000,49.67482
Saint Vincent and the Grenadines,2005,51.19917
Saint Vincent and the Grenadines,2010,51.20543
Saint Vincent and the Grenadines,2015,57.07793
Saint Vincent and the Grenadines,2020,50.04642
Samoa,1990,45.984264
Samoa,1995,48.192883
Samoa,2000,54.192513
Samoa,2005,55.21305
Samoa,2010,56.37181
Samoa,2015,60.387062
Samoa,2020,68.40986
San Marino,1990,5.8572373
San Marino,1995,9.473481
San Marino,2000,12.723963
San Marino,2005,9.913382
San Marino,2010,7.257935
San Marino,2015,11.085061
San Marino,2020,7.0923448
Sao Tome and Principe,1990,11.714523
Sao Tome and Principe,1995,14.627237
Sao Tome and Principe,2000,17.674885
Sao Tome and Principe,2005,18.961466
Sao Tome and Principe,2010,17.146786
Sao Tome and Principe,2015,17.630453
Sao Tome and Principe,2020,18.07256
Saudi Arabia,1990,0.6593964
Saudi Arabia,1995,0.7023579
Saudi Arabia,2000,0.7433952
Saudi Arabia,2005,0.7505151
Saudi Arabia,2010,0.7852898
Saudi Arabia,2015,0.8919506
Saudi Arabia,2020,0.85962296
Senegal,1990,4.9193187
Senegal,1995,4.1318135
Senegal,2000,4.0275445
Senegal,2005,4.242586
Senegal,2010,4.3184166
Senegal,2015,4.077985
Senegal,2020,4.143382
Serbia,1990,7.8017673
Serbia,1995,9.248266
Serbia,2000,11.930493
Serbia,2005,10.448553
Serbia,2010,10.410123
Serbia,2015,9.315216
Serbia,2020,11.490437
Seychelles,1990,50.4917
Seychelles,1995,36.264725
Seychelles,2000,23.758612
Seychelles,2005,26.49348
Seychelles,2010,28.411469
Seychelles,2015,28.93526
Seychelles,2020,29.751883
Sierra Leone,1990,1.4318609
Sierra Leone,1995,10.637361
Sierra Leone,2000,11.104597
Sierra Leone,2005,2.690329
Sierra Leone,2010,1.9753302
Sierra Leone,2015,1.9422443
Sierra Leone,2020,1.9115744
Singapore,1990,5.192355
Singapore,1995,4.7674904
Singapore,2000,4.7886853
Singapore,2005,5.525081
Singapore,2010,5.5040274
Singapore,2015,5.8052697
Singapore,2020,5.9563007
Sint Maarten (Dutch part),1990,2.4536684
Sint Maarten (Dutch part),1995,2.9328713
Sint Maarten (Dutch part),2000,3.6420588
Sint Maarten (Dutch part),2005,3.7265222
Sint Maarten (Dutch part),2010,9.667505
Sint Maarten (Dutch part),2015,4.826482
Sint Maarten (Dutch part),2020,5.1093698
Slovakia,1990,2.5144773
Slovakia,1995,3.5645254
Slovakia,2000,4.658703
Slovakia,2005,5.0348196
Slovakia,2010,4.8231287
Slovakia,2015,6.390907
Slovakia,2020,7.686418
Slovenia,1990,4.557756
Slovenia,1995,5.454753
Slovenia,2000,5.9696336
Slovenia,2005,5.9849753
Slovenia,2010,6.017023
Slovenia,2015,6.5922203
Slovenia,2020,7.7057357
Small island developing States (SIDS),1990,10.955216
Small island developing States (SIDS),1995,12.223423
Small island developing States (SIDS),2000,13.53629
Small island developing States (SIDS),2005,13.936186
Small island developing States (SIDS),2010,14.417552
Small island developing States (SIDS),2015,15.211696
Small island developing States (SIDS),2020,16.048592
Solomon Islands,1990,0.7092722
Solomon Islands,1995,0.707534
Solomon Islands,2000,0.6610689
Solomon Islands,2005,0.63819647
Solomon Islands,2010,0.6386151
Solomon Islands,2015,0.64430237
Solomon Islands,2020,0.6216533
Somalia,1990,11.737641
Somalia,1995,12.933818
Somalia,2000,11.340167
Somalia,2005,10.155715
Somalia,2010,13.245957
Somalia,2015,14.557224
Somalia,2020,12.799301
South Africa,1990,0.83727103
South Africa,1995,0.9315335
South Africa,2000,1.115467
South Africa,2005,1.2568829
South Africa,2010,1.4522667
South Africa,2015,1.420122
South Africa,2020,1.5426086
South America,1990,1.4592466
South America,1995,1.658501
South America,2000,1.8465244
South America,2005,2.3810582
South America,2010,2.8429184
South America,2015,2.8565803
South America,2020,4.0887604
South Korea,1990,3.5256708
South Korea,1995,3.740653
South Korea,2000,3.9582908
South Korea,2005,4.0543523
South Korea,2010,4.5459523
South Korea,2015,4.235343
South Korea,2020,4.299959
South Sudan,1990,9.375179
South Sudan,1995,8.55875
South Sudan,2000,5.5267963
South Sudan,2005,3.0326312
South Sudan,2010,4.2343316
South Sudan,2015,9.898395
South Sudan,2020,23.011724
South-Eastern Asia,1990,1.7381366
South-Eastern Asia,1995,1.996117
South-Eastern Asia,2000,2.302473
South-Eastern Asia,2005,2.5905466
South-Eastern Asia,2010,3.0344243
South-Eastern Asia,2015,3.277263
South-Eastern Asia,2020,3.5267775
Southern Africa,1990,1.3717055
Southern Africa,1995,1.2763482
Southern Africa,2000,1.4235166
Southern Africa,2005,1.6554475
Southern Africa,2010,2.0550597
Southern Africa,2015,1.7939992
Southern Africa,2020,1.8938754
Southern Asia,1990,2.1333685
Southern Asia,1995,1.7316399
Southern Asia,2000,1.6775959
Southern Asia,2005,1.663628
Southern Asia,2010,1.9765837
Southern Asia,2015,2.1365623
Southern Asia,2020,2.2363803
Southern Europe,1990,7.4024687
Southern Europe,1995,8.237893
Southern Europe,2000,8.734299
Southern Europe,2005,7.7067833
Southern Europe,2010,7.664664
Southern Europe,2015,7.8693776
Southern Europe,2020,9.208743
Spain,1990,3.6706922
Spain,1995,3.424221
Spain,2000,3.1613522
Spain,2005,2.531775
Spain,2010,2.316317
Spain,2015,2.7195861
Spain,2020,3.1864612
Sri Lanka,1990,5.100403
Sri Lanka,1995,5.0624027
Sri Lanka,2000,5.214153
Sri Lanka,2005,5.891807
Sri Lanka,2010,7.1775284
Sri Lanka,2015,7.9216146
Sri Lanka,2020,9.153328
Sub-Saharan Africa,1990,3.1256943
Sub-Saharan Africa,1995,2.9404714
Sub-Saharan Africa,2000,2.4447331
Sub-Saharan Africa,2005,2.3673022
Sub-Saharan Africa,2010,2.384456
Sub-Saharan Africa,2015,2.5242841
Sub-Saharan Africa,2020,2.5845602
Sudan,1990,2.9032502
Sudan,1995,3.218026
Sudan,2000,3.247147
Sudan,2005,4.1281166
Sudan,2010,3.5756042
Sudan,2015,4.736407
Sudan,2020,4.800278
Suriname,1990,43.89699
Suriname,1995,43.348324
Suriname,2000,44.850132
Suriname,2005,49.810097
Suriname,2010,48.894783
Suriname,2015,45.536686
Suriname,2020,46.57231
Sweden,1990,2.4037936
Sweden,1995,2.5536923
Sweden,2000,2.889218
Sweden,2005,2.9645321
Sweden,2010,3.1086168
Sweden,2015,3.0968723
Sweden,2020,3.2436109
Switzerland,1990,4.8938255
Switzerland,1995,4.849519
Switzerland,2000,5.1855297
Switzerland,2005,6.7998023
Switzerland,2010,7.996044
Switzerland,2015,7.772357
Switzerland,2020,8.245575
Syria,1990,4.9837427
Syria,1995,4.6096573
Syria,2000,4.3085527
Syria,2005,4.4297867
Syria,2010,4.9494205
Syria,2015,35.826504
Syria,2020,48.325127
Taiwan,1990,0
Taiwan,1995,0
Taiwan,2000,0
Taiwan,2005,0
Taiwan,2010,0
Taiwan,2015,0
Taiwan,2020,0
Tajikistan,1990,10.176348
Tajikistan,1995,9.634773
Tajikistan,2000,8.70583
Tajikistan,2005,8.634667
Tajikistan,2010,7.7669215
Tajikistan,2015,6.920496
Tajikistan,2020,6.152999
Tanzania,1990,0.8056032
Tanzania,1995,0.772876
Tanzania,2000,0.64318
Tanzania,2005,0.61096495
Tanzania,2010,0.59118944
Tanzania,2015,0.57126445
Tanzania,2020,0.54886967
Thailand,1990,0.54266936
Thailand,1995,0.6926129
Thailand,2000,0.8435357
Thailand,2005,0.9656295
Thailand,2010,1.1448123
Thailand,2015,1.3413323
Thailand,2020,1.5572857
Togo,1990,5.1354284
Togo,1995,7.3259473
Togo,2000,5.4253044
Togo,2005,7.231447
Togo,2010,6.496406
Togo,2015,6.764564
Togo,2020,6.58807
Tokelau,1990,104.98753
Tokelau,1995,120.10617
Tokelau,2000,132.96774
Tokelau,2005,172.30008
Tokelau,2010,192.02835
Tokelau,2015,174.09784
Tokelau,2020,156.44444
Tonga,1990,34.359253
Tonga,1995,39.81161
Tonga,2000,47.41022
Tonga,2005,47.90205
Tonga,2010,49.548473
Tonga,2015,58.744793
Tonga,2020,70.53181
Trinidad and Tobago,1990,16.16875
Trinidad and Tobago,1995,20.02408
Trinidad and Tobago,2000,24.290163
Trinidad and Tobago,2005,24.906036
Trinidad and Tobago,2010,26.391489
Trinidad and Tobago,2015,26.901
Trinidad and Tobago,2020,23.617086
Tunisia,1990,5.6481466
Tunisia,1995,5.2264338
Tunisia,2000,5.015931
Tunisia,2005,5.7289176
Tunisia,2010,5.789542
Tunisia,2015,6.9264703
Tunisia,2020,7.6342936
Turkey,1990,4.6603527
Turkey,1995,4.739099
Turkey,2000,4.502412
Turkey,2005,3.795543
Turkey,2010,3.7453928
Turkey,2015,3.9138634
Turkey,2020,4.0448728
Turkmenistan,1990,7.057724
Turkmenistan,1995,5.7873626
Turkmenistan,2000,4.968814
Turkmenistan,2005,4.878149
Turkmenistan,2010,4.612252
Turkmenistan,2015,4.286053
Turkmenistan,2020,4.0216627
Turks and Caicos Islands,1990,19.050764
Turks and Caicos Islands,1995,9.450711
Turks and Caicos Islands,2000,3.6686332
Turks and Caicos Islands,2005,4.2227035
Turks and Caicos Islands,2010,6.727295
Turks and Caicos Islands,2015,6.8206453
Turks and Caicos Islands,2020,6.9450903
Tuvalu,1990,26.37486
Tuvalu,1995,29.447191
Tuvalu,2000,27.800255
Tuvalu,2005,29.178755
Tuvalu,2010,28.618954
Tuvalu,2015,28.858456
Tuvalu,2020,31.122795
Uganda,1990,1.7954588
Uganda,1995,1.7732142
Uganda,2000,2.189313
Uganda,2005,2.1188755
Uganda,2010,2.2565815
Uganda,2015,2.056821
Uganda,2020,1.7084017
Ukraine,1990,10.775715
Ukraine,1995,11.013196
Ukraine,2000,11.459337
Ukraine,2005,11.870954
Ukraine,2010,11.857674
Ukraine,2015,12.905919
Ukraine,2020,14.03754
United Arab Emirates,1990,4.3479214
United Arab Emirates,1995,4.0548234
United Arab Emirates,2000,3.5443404
United Arab Emirates,2005,2.7378361
United Arab Emirates,2010,1.8199887
United Arab Emirates,2015,1.925143
United Arab Emirates,2020,2.054659
United Kingdom,1990,6.632287
United Kingdom,1995,6.40168
United Kingdom,2000,6.5508986
United Kingdom,2005,6.875679
United Kingdom,2010,6.985411
United Kingdom,2015,6.649493
United Kingdom,2020,6.97126
United States,1990,0.68467826
United States,1995,0.6891708
United States,2000,0.7026093
United States,2005,0.7786609
United States,2010,0.8642566
United States,2015,0.8469756
United States,2020,0.9051961
United States Virgin Islands,1990,2.225435
United States Virgin Islands,1995,2.8215444
United States Virgin Islands,2000,3.5077715
United States Virgin Islands,2005,3.3747368
United States Virgin Islands,2010,3.4981053
United States Virgin Islands,2015,3.7665555
United States Virgin Islands,2020,3.7424707
Upper-middle-income countries,1990,2.0783837
Upper-middle-income countries,1995,2.2434886
Upper-middle-income countries,2000,2.3992522
Upper-middle-income countries,2005,2.5381007
Upper-middle-income countries,2010,2.751839
Upper-middle-income countries,2015,2.759657
Upper-middle-income countries,2020,3.008716
Uruguay,1990,7.637193
Uruguay,1995,7.2572284
Uruguay,2000,7.0981894
Uruguay,2005,9.000725
Uruguay,2010,10.074739
Uruguay,2015,10.352393
Uruguay,2020,10.566749
Uzbekistan,1990,7.000469
Uzbekistan,1995,6.6505585
Uzbekistan,2000,6.362406
Uzbekistan,2005,6.5469885
