Entity,Year,Share of the population that was born in this country but now lives in another country.
Bonaire Sint Eustatius and Saba,1995,3.5759223
Bonaire Sint Eustatius and Saba,2000,4.4971156
Bonaire Sint Eustatius and Saba,2005,5.22953
Bonaire Sint Eustatius and Saba,2010,33.737644
Bonaire Sint Eustatius and Saba,2015,29.689472
Bonaire Sint Eustatius and Saba,2020,31.07433
Bosnia and Herzegovina,1990,19.30716
Bosnia and Herzegovina,1995,35.84509
Bosnia and Herzegovina,2000,39.899246
Bosnia and Herzegovina,2005,39.86464
Bosnia and Herzegovina,2010,42.44864
Bosnia and Herzegovina,2015,46.46433
Bosnia and Herzegovina,2020,51.43963
Botswana,1990,2.0243154
Botswana,1995,1.5869472
Botswana,2000,1.6237123
Botswana,2005,1.849893
Botswana,2010,2.2268062
Botswana,2015,2.607327
Botswana,2020,2.7028544
Brazil,1990,0.329764
Brazil,1995,0.450865
Brazil,2000,0.53804916
Brazil,2005,0.641806
Brazil,2010,0.76407754
Brazil,2015,0.7356669
Brazil,2020,0.8925166
British Virgin Islands,1990,17.69112
British Virgin Islands,1995,17.44445
British Virgin Islands,2000,18.131247
British Virgin Islands,2005,17.346144
British Virgin Islands,2010,17.703987
British Virgin Islands,2015,17.558666
British Virgin Islands,2020,17.71009
Brunei,1990,10.174556
Brunei,1995,11.797571
Brunei,2000,13.579417
Brunei,2005,12.410986
Brunei,2010,11.460912
Brunei,2015,10.872132
Brunei,2020,10.3638315
Bulgaria,1990,6.932787
Bulgaria,1995,7.7504044
Bulgaria,2000,8.61073
Bulgaria,2005,11.809877
Bulgaria,2010,14.902105
Bulgaria,2015,16.384275
Bulgaria,2020,24.222313
Burkina Faso,1990,11.591501
Burkina Faso,1995,12.04836
Burkina Faso,2000,11.021876
Burkina Faso,2005,10.075239
Burkina Faso,2010,9.192621
Burkina Faso,2015,8.384961
Burkina Faso,2020,7.6511784
Burundi,1990,6.1978774
Burundi,1995,9.028796
Burundi,2000,11.893531
Burundi,2005,8.417217
Burundi,2010,3.2744455
Burundi,2015,4.527337
Burundi,2020,4.634725
Cambodia,1990,3.9599373
Cambodia,1995,3.9246182
Cambodia,2000,3.7812576
Cambodia,2005,5.0811267
Cambodia,2010,6.659065
Cambodia,2015,6.9231486
Cambodia,2020,6.6081758
Cameroon,1990,0.983312
Cameroon,1995,1.0215894
Cameroon,2000,1.0590215
Cameroon,2005,1.2475436
Cameroon,2010,1.3710966
Cameroon,2015,1.4978468
Cameroon,2020,1.6613322
Canada,1990,3.6100445
Canada,1995,3.6493604
Canada,2000,3.7355397
Canada,2005,3.6846924
Canada,2010,3.7134624
Canada,2015,3.5072687
Canada,2020,3.4240994
Cape Verde,1990,27.034233
Cape Verde,1995,27.687632
Cape Verde,2000,29.152128
Cape Verde,2005,30.66384
Cape Verde,2010,31.029099
Cape Verde,2015,32.669323
Cape Verde,2020,33.734184
Caribbean,1990,12.155003
Caribbean,1995,13.925744
Caribbean,2000,15.659215
Caribbean,2005,16.370714
Caribbean,2010,17.646704
Caribbean,2015,19.08698
Caribbean,2020,20.855219
Cayman Islands,1990,1.4067254
Cayman Islands,1995,2.4688287
Cayman Islands,2000,3.0209196
Cayman Islands,2005,2.6187043
Cayman Islands,2010,2.477414
Cayman Islands,2015,2.7689116
Cayman Islands,2020,2.9032257
Central African Republic,1990,1.6515245
Central African Republic,1995,1.5268433
Central African Republic,2000,1.5222416
Central African Republic,2005,3.2540276
Central African Republic,2010,5.6062493
