Country,1990_immigrants,1995_immigrants,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,1990_emigrants,1995_emigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,1990_efScore,1995_efScore,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore
Kazakhstan,22.090004,20.530935,19.260519,20.145859,20.51982,20.180162,19.876078,18.137547,20.803602,23.819271,24.136185,23.366127,22.112303,22.388905,,,5.55,6.29,6.48,6.97,7.06
Kenya,1.2564567,2.2282426,2.2144902,2.1115527,2.2719712,2.3536446,1.9529879,1.0551591,0.9998705,0.9930812,0.9884833,1.0531163,1.0038924,0.9956017,5.06,5.63,6.09,6.78,6.69,6.66,6.73
Kiribati,2.9864354,2.8604147,2.704816,2.69392,2.7863595,2.6314604,2.617082,5.5985303,5.4634824,4.728393,4.35555,3.4635189,3.7204647,4.2722235,,,,,,,
Kuwait,51.275013,57.410175,55.138004,58.74074,62.663258,74.724815,72.82784,3.893526,6.040761,5.545632,5.682549,5.9432783,5.0848527,4.9705625,6.35,6.68,6.58,6.9,6.53,6.33,6.61
Kyrgyzstan,14.248785,11.351886,7.922106,6.0961237,4.2798276,3.4297311,3.0503552,11.950326,12.045782,11.508802,12.863217,13.39919,12.465603,11.869319,,,,,,,
Land-locked Developing Countries (LLDC),5.3461485,4.1413193,3.4448056,3.0895371,2.756891,2.9170384,2.8177636,9.436083,7.9929357,6.9275894,6.4822645,6.594593,6.613587,6.616938,,,,,,,
Laos,0.5369533,0.4854248,0.4122696,0.3541751,0.5273502,0.67552173,0.66979074,11.342286,11.302767,12.196157,15.595492,19.184345,19.10916,17.813772,,,,,,,
Latin America and the Caribbean,1.6114104,1.3791515,1.2532164,1.2886279,1.4080586,1.5132211,2.262305,3.448965,4.072249,4.7196217,5.2624493,5.8573623,5.802856,6.5585556,,,,,,,
Latvia,24.245443,21.450993,18.043243,16.728493,14.809225,13.2863455,12.693338,8.071844,9.127375,10.0094795,12.032969,13.128222,18.483387,20.146835,6.48,5.91,7.47,7.73,7.74,8.1,7.73
Least developed countries,2.1846244,2.0152054,1.5313003,1.3157936,1.246915,1.4280807,1.5305599,5.8907385,4.850479,4.269904,4.0244937,4.243016,4.4077463,4.50188,,,,,,,
Lebanon,18.68309,17.240297,18.031584,15.796569,16.014149,29.333424,25.093788,18.113314,15.0646515,14.543947,12.957798,14.12669,11.5906925,12.553239,,,4.24,5.61,6.77,6.71,5.21
Lesotho,0.48363703,0.3794379,0.3033739,0.3151121,0.32141113,0.44448525,0.56295896,11.229771,7.1944137,5.9309673,7.96903,12.183356,9.298493,9.436985,,,4.27,5.62,5.61,6.16,5.93
Less developed regions,1.6791868,1.4941835,1.3979151,1.4020774,1.5802175,1.7566731,1.8913558,2.2124748,2.2038188,2.2544003,2.3829303,2.6500752,2.848633,3.0380397,,,,,,,
"Less developed regions, excluding China",2.2636843,1.9735103,1.8112811,1.789772,2.0004985,2.2063897,2.355131,2.943044,2.8760302,2.8893085,2.9928932,3.2836719,3.4812386,3.693144,,,,,,,
"Less developed regions, excluding least developed countries",1.6095651,1.4185833,1.3775185,1.4160715,1.6372943,1.8163501,1.9611793,1.7058114,1.8197883,1.9461995,2.1166916,2.3772898,2.5654764,2.754748,,,,,,,
Liberia,4.574557,10.200391,5.331607,2.7101898,2.5483398,2.506826,1.7388813,24.898779,26.522541,8.720963,11.024842,5.6314287,4.600413,4.6180096,,,4.51,5.33,5.58,6.13,5.7
Libya,10.302225,10.265951,10.590655,10.785541,11.087914,12.014773,12.028852,1.718386,1.5639764,1.4933856,1.7288265,2.055596,2.3766985,2.6999018,,,,4.45,4.3,4.55,4.8
Liechtenstein,37.88121,43.099987,46.658028,54.432858,62.06801,63.52329,67.852745,11.896491,9.77205,8.100289,8.453829,9.9733305,9.438142,9.717597,,,,,,,
Lithuania,9.449532,7.543879,6.119951,6.0165496,5.1466393,4.639391,5.333155,9.225373,9.441024,9.9537325,12.330713,16.574104,18.973951,24.17291,6.17,6.0,7.16,7.75,7.65,8.03,7.78
Low-income countries,3.0301793,2.5645242,1.8226258,1.5621822,1.6529016,1.7110674,1.7828648,6.9687257,5.4050374,4.4809155,4.0212755,4.088133,5.2052636,5.4540534,,,,,,,
Lower-middle-income countries,1.8083782,1.4715002,1.3003669,1.1285793,1.0586252,1.003614,0.9651391,2.4180262,2.3390114,2.3314917,2.4741247,2.761582,2.9231486,3.0379617,,,,,,,
Luxembourg,29.806433,30.897352,32.04496,32.896942,32.12152,43.91565,47.615562,9.457803,9.279791,9.117508,11.533523,12.216818,12.239452,13.060724,8.02,8.01,8.23,7.88,7.84,8.12,7.8
Macao,59.638584,58.34477,56.289566,57.84415,59.17821,62.459785,62.138287,25.147171,23.370436,22.09518,22.406149,22.964613,22.138771,22.359867,,,,,,,
Madagascar,0.20620508,0.157153,0.14930736,0.14210828,0.13665608,0.13235493,0.12842792,0.512258,0.49960658,0.48893225,0.8115136,0.7603145,0.72570527,0.6988764,4.26,3.94,5.31,5.39,5.97,6.18,5.8
Malawi,11.991324,2.4544265,2.0865119,1.7555985,1.4974406,1.1784079,1.0003264,1.5251849,1.5320865,1.6704024,1.7584656,1.7918707,1.7764442,1.6259944,4.84,4.35,4.47,4.77,5.61,5.35,5.68
Malaysia,3.8598268,4.5752935,6.3101754,7.4677234,8.569883,10.837715,10.741396,3.1079228,4.2035565,5.178589,5.368906,5.6688156,5.8836513,5.746886,7.08,7.1,6.59,6.43,6.51,7.34,7.52
Maldives,3.8936365,7.2832723,9.696631,14.094004,14.945178,14.128605,12.96458,0.9822593,0.6637969,0.43522456,0.6921065,0.96874744,0.7926773,0.68727314,,,,,,,
Mali,1.9022204,1.8380268,1.7309268,2.0244203,2.2663965,2.4113166,2.3990567,7.6619234,8.5603285,7.060427,7.0084095,6.610464,7.0449,6.436826,5.58,5.58,5.63,5.45,5.74,5.75,5.8
Malta,4.1647215,4.7069063,5.467053,6.069308,7.9680004,12.14183,25.99091,30.58917,29.143284,26.640232,24.77271,23.96918,21.578148,23.280617,5.81,7.08,7.03,7.92,7.95,7.99,7.73
Marshall Islands,2.4500158,2.933365,3.7258148,4.3741064,5.48074,5.716872,5.571511,3.0170317,8.233242,13.744729,12.041913,11.518603,13.273797,18.390377,,,,,,,
Martinique,10.797668,12.637771,14.080038,14.359339,15.095042,18.276646,18.28681,3.0787513,3.390304,3.622331,3.6103537,3.7087057,3.3488955,3.4543588,,,,,,,
Mauritania,5.4882474,3.8710597,2.1810367,1.9248409,2.430313,4.1161513,3.9204156,6.6103764,6.5572286,4.091183,3.4093997,3.2680442,2.8329558,2.8007638,,,5.13,5.79,5.66,5.82,6.14
Mauritius,0.3421826,0.6638752,1.3114829,1.607761,1.990139,2.269629,2.2718785,10.484918,10.106797,10.041202,10.69132,11.874326,13.169882,14.387305,6.12,7.2,7.41,7.53,8.0,8.03,7.77
Mayotte,16.067905,21.362818,30.24925,35.47161,34.85933,33.90928,40.885147,1.936083,3.19598,4.1335454,3.6316066,3.0385787,2.7269583,2.4804537,,,,,,,
Melanesia,1.5268205,1.4488217,1.2749193,1.2618941,1.2047431,1.1790774,1.1154644,1.7494317,1.8449179,2.0120578,2.1503496,2.223329,2.2700574,2.3017282,,,,,,,
Mexico,0.82874435,0.5002537,0.54403627,0.67227644,0.84992975,0.8318608,0.9288749,5.23611,7.581308,9.669255,10.204981,10.881672,9.784512,8.675636,5.82,6.53,6.65,6.95,6.95,7.11,7.06
Micronesia,26.146452,26.089642,26.854712,25.76581,22.785456,21.69829,21.653152,5.149197,6.408599,8.051916,8.013711,7.7505064,8.022167,9.290488,,,,,,,
Micronesia (country),3.8264246,3.1078253,2.9011686,2.73708,2.7264955,2.5310876,2.4621592,8.009013,11.287487,15.74787,17.285532,18.854212,18.949177,21.687344,,,,,,,
Middle Africa,2.062173,3.178137,1.847031,1.7516131,1.8513619,2.2567043,2.150152,2.7129204,2.2173655,2.5379453,2.4342458,2.284983,2.4752982,2.4614599,,,,,,,
Middle-income countries,1.684273,1.4810283,1.376377,1.3103132,1.3168722,1.4131819,1.4639583,2.22867,2.2867904,2.3677547,2.5076566,2.7565749,2.840515,3.0234413,,,,,,,
Moldova,12.464878,8.46037,5.8969336,4.114206,3.1689954,2.6131592,2.5889678,14.332175,14.284424,14.342657,17.202335,20.249407,22.840244,28.742035,,,5.15,6.36,6.52,6.76,6.9
Monaco,69.17066,68.53015,67.770935,62.975002,59.344547,68.8784,67.78361,15.204022,15.567342,15.938784,56.447613,75.69434,77.716515,82.947716,,,,,,,
Mongolia,0.30758116,0.32306114,0.34228504,0.45427755,0.590536,0.6632131,0.65110123,1.1201669,1.2051259,1.2783759,1.6764374,2.110554,2.183974,2.5042918,,,6.1,6.8,6.93,7.17,7.02
Montenegro,,,,,12.576428,11.439221,11.304458,12.582682,23.313276,29.899538,24.012959,23.828129,21.377544,21.170681,,,6.57,5.98,6.83,7.0,7.37
Montserrat,18.961945,16.368805,24.588833,25.691862,26.373852,27.204994,27.585518,67.61492,117.64826,327.55328,326.51797,355.01532,405.47723,491.73834,,,,,,,
Morocco,0.22128424,0.18655822,0.18418631,0.18460338,0.22010374,0.26663122,0.27731362,7.046735,6.978981,7.213425,8.11233,8.844783,8.57317,8.8381815,5.34,5.8,5.88,6.04,6.33,6.47,6.44
Mozambique,0.94193614,1.0866951,1.1049166,1.3110908,1.3023825,1.1899785,1.0841315,17.111757,5.2487917,3.6383452,3.2348654,3.3903735,2.2074883,2.0481558,,,5.36,5.62,5.35,5.62,5.9
Myanmar,0.32307824,0.258904,0.20978518,0.1696121,0.15101334,0.13915716,0.14050044,1.6579288,2.076109,2.6205435,3.5476863,4.925362,5.3957005,6.8218436,3.11,3.6,4.11,3.85,4.05,5.07,5.53
Namibia,8.419365,7.0873156,7.5531197,5.538158,4.9000483,4.3897343,4.3051796,1.1219912,1.7335579,2.749831,3.3842778,4.7005563,2.1776311,1.8800306,5.11,5.51,5.98,6.17,6.1,6.25,6.12
Nauru,29.612877,24.515339,23.164005,22.87774,9.051853,17.669172,20.315674,14.927415,14.219837,15.413643,18.978474,21.280848,21.852709,22.650915,,,,,,,
Nepal,2.2743354,3.1990297,2.9986093,2.6441724,2.154091,1.8858796,1.6733611,3.956805,3.9674873,4.0825024,5.009338,6.340221,8.403343,8.922395,4.5,5.23,5.78,6.15,5.93,6.36,6.28
Netherlands,7.899954,8.70298,9.772188,10.607386,10.984344,11.785689,13.763352,4.787503,4.69914,4.69435,4.8301253,5.121331,5.1190686,5.663322,7.79,7.79,8.07,7.93,7.79,8.05,7.75
New Caledonia,22.117004,22.588156,22.852947,23.432907,24.122684,25.41153,25.619371,2.4352012,2.3797698,2.2742023,2.2073162,2.1208618,2.0600452,2.0452483,,,,,,,
New Zealand,15.24486,16.01705,17.590422,20.311495,21.68032,22.5318,28.653198,11.418393,11.345002,12.693056,13.433218,15.155765,15.993926,16.717546,8.28,8.64,8.81,8.68,8.51,8.83,8.49
Nicaragua,0.9924918,0.5721828,0.59947014,0.64204776,0.64121956,0.6469466,0.63652587,10.578528,9.408718,9.8932,10.214441,10.47742,10.534347,10.84079,3.07,6.06,6.73,6.94,6.93,6.87,6.5
Niger,1.4385184,1.5384041,1.0789335,0.9138628,0.7682326,1.2648848,1.4378537,1.86601,1.8657703,1.8111892,2.23191,2.0401876,1.8748091,1.651229,4.81,4.46,5.17,5.1,5.54,5.65,5.87
Nigeria,0.47958118,0.42890793,0.39897498,0.69831413,0.6249047,0.6619918,0.63479704,0.46921697,0.485913,0.49894568,0.5886234,0.6289551,0.7212898,0.8103514,3.46,3.32,4.82,5.74,5.71,6.3,6.24
Niue,19.768438,22.211939,26.182966,30.924171,36.313194,36.52174,36.341164,251.20068,257.7973,302.26077,313.44788,329.65475,332.17392,320.51917,,,,,,,
North Korea,0.16805255,0.16074704,0.157804,0.16774063,0.17927527,0.1924171,0.19220822,0.19407131,0.246072,0.3155382,0.3629618,0.39292693,0.41255835,0.42816943,,,,,,,
North Macedonia,4.766113,5.513299,6.1757216,6.1965847,6.263519,6.287106,6.302787,21.64443,24.80725,26.151268,22.269886,25.408875,27.092989,33.306263,,,6.33,6.83,6.98,7.18,7.01
Northern Africa,1.7197952,1.330031,1.1092788,0.9385828,0.9618791,0.9554644,1.2865587,3.783079,3.739312,3.760146,4.273343,4.5585475,4.8756676,4.988222,,,,,,,
Northern Africa and Western Asia,6.112873,5.851901,5.7101555,5.909862,7.496767,8.729875,9.463901,5.681175,5.5911694,5.4616623,5.578724,5.8143415,6.7714834,7.1431856,,,,,,,
Northern America,9.868428,11.322991,12.915573,13.860333,14.847769,15.582326,15.915865,1.0015306,1.000552,1.0082103,1.0730962,1.1564078,1.1244538,1.1733028,,,,,,,
Northern Europe,7.220637,7.721695,8.36487,9.95647,11.250128,12.742677,14.091551,6.7660832,6.6564326,6.799632,7.0400577,7.1503,7.0664806,7.420182,,,,,,,
Northern Mariana Islands,58.124233,70.579,69.83447,66.39079,44.779602,38.810307,37.950207,5.501399,5.7704043,4.8126297,4.8190002,4.8377833,4.673802,4.7622356,,,,,,,
Norway,4.534354,5.342391,6.4995694,7.7961144,10.737087,14.353843,15.720346,3.2559378,3.4586933,3.6412613,3.7575457,3.6834936,3.5689263,3.5304086,7.64,7.86,7.92,7.94,7.74,7.45,7.71
Oceania,17.333935,17.089453,17.061787,17.880627,19.332804,20.252235,21.980165,3.5223188,3.6451464,3.9676452,4.130036,4.3152575,4.3940783,4.616462,,,,,,,
Oceania (excluding Australia and New Zealand),3.7273922,3.6337001,3.4592388,3.2639575,2.881385,2.6769705,2.5338032,3.9268038,4.054351,4.3754034,4.342195,4.2702866,4.377958,4.575064,,,,,,,
Oman,16.77558,24.481745,27.496271,26.527145,26.837135,43.49842,46.465862,0.6900061,0.62805456,0.688853,0.7495857,0.6823095,0.5342203,0.49149907,6.29,6.46,6.75,6.72,6.58,6.49,6.52
Pakistan,5.767138,2.9644547,2.9378998,1.9803361,2.1979594,1.7582979,1.483338,3.1037161,2.6985316,2.393107,2.356666,2.66997,2.9074354,2.8649251,4.89,5.17,5.05,5.63,5.68,5.8,5.83
Palau,18.595234,27.678051,33.02973,30.544886,30.578144,27.94792,28.122927,19.630884,16.575357,20.927555,19.116457,14.587278,14.486272,14.680523,,,,,,,
Palestine,13.7206545,10.759924,8.536018,7.672537,6.752092,6.0312066,5.3472214,86.25841,86.860435,85.83509,91.060425,87.28375,83.32644,78.85636,,,,,,,
Panama,2.5392704,2.5860078,2.7525027,3.286898,4.3316326,4.654415,7.25798,5.4388885,4.8538017,4.5186124,3.9461935,3.83903,3.7850668,3.2335458,6.98,7.49,7.62,7.7,7.51,7.76,7.48
Papua New Guinea,0.7303108,0.64633876,0.44982633,0.46145424,0.41618153,0.38160914,0.34724385,0.06731165,0.078252375,0.07784404,0.06917734,0.057875562,0.061422545,0.05376087,6.02,6.11,5.57,6.2,6.34,6.04,6.1
Paraguay,4.63805,3.9057217,3.3177023,2.8887405,2.565598,2.3391829,2.3773751,7.0497956,7.030697,7.0385265,9.369661,12.256865,12.641995,12.568949,5.18,6.67,6.67,6.87,6.98,7.03,7.01
Peru,0.25683877,0.23347302,0.25056744,0.2794682,0.3607109,0.50794303,3.7138321,1.4190695,2.0802112,2.6233768,3.4773455,4.475366,4.6280437,4.6088862,4.15,5.95,7.4,7.55,7.62,7.66,7.53
Philippines,0.2489225,0.2971236,0.4078572,0.29824996,0.22199227,0.20747757,0.20580651,3.251464,3.5566318,3.9269085,4.268143,4.9939938,5.3844476,5.561459,5.74,6.81,6.89,6.85,7.07,7.33,6.96
Poland,2.9709306,2.5084739,2.140357,1.8830562,1.6760256,1.6087022,2.1593852,4.408371,4.61736,5.310688,7.518205,9.695692,10.719436,12.749085,4.51,5.9,6.51,6.85,6.93,7.41,7.03
Polynesia,10.638812,11.151541,11.543198,11.421458,11.074926,10.494682,10.257131,26.649307,27.526558,30.1386,29.446392,30.236387,33.507694,37.76986,,,,,,,
Portugal,4.4039035,5.280002,6.3267417,7.338673,7.1991415,8.340906,9.826339,18.916637,19.03482,19.362633,16.586668,18.18976,19.0161,20.412659,6.35,7.11,7.65,7.4,7.33,7.79,7.53
Puerto Rico,9.459098,9.475793,9.676815,9.695902,8.519063,8.294929,8.638442,35.268463,39.398563,43.61073,45.15603,48.376938,50.74112,64.684814,,,,,,,
Qatar,65.03658,70.440186,60.711735,74.649704,78.45662,65.77678,77.2699,2.5562963,2.590725,2.4777753,1.9795243,1.1137035,0.9188107,0.8922063,,,6.52,6.31,6.87,6.91,6.84
Reunion,9.369719,11.45569,13.665819,14.537177,14.813723,14.734195,14.717729,0.50558156,0.38943318,0.3203414,0.32289115,0.33100262,0.33670813,0.3422286,,,,,,,
Romania,0.5782456,0.58801866,0.60645723,0.6777796,0.8656321,1.4105166,3.666294,3.4562886,4.25318,5.144343,9.832739,16.429192,17.167793,20.725433,4.47,4.56,5.38,7.2,7.42,7.87,7.61
Russia,7.8118525,8.047717,8.128346,8.120982,7.8023186,8.030673,7.9740667,8.5766945,7.8176866,7.2844315,7.171153,7.052364,7.0214124,7.3709097,,,,,,,
Rwanda,2.195453,3.696314,4.374712,4.787064,4.252282,4.5267305,3.967717,7.514416,35.301403,4.01072,3.2702806,3.329343,4.430153,3.8023553,4.9,4.06,5.37,5.85,6.73,6.85,6.57
Saint Helena,2.6750827,1.8737988,1.7839445,3.0444527,4.7848735,6.4235816,7.198155,13.285242,35.345932,61.364388,61.038475,69.592896,73.010735,80.4645,,,,,,,
Saint Kitts and Nevis,7.9731746,10.095777,13.318059,14.261931,14.782395,14.535974,14.522861,46.24441,58.611595,70.02019,71.11116,73.03462,78.530975,94.53489,,,,,,,
Saint Lucia,3.8436737,4.871622,6.297811,6.021125,5.198401,4.841708,4.540677,15.93911,20.883633,25.23718,28.69933,28.903109,32.344486,38.788536,,,,,,,
Saint Pierre and Miquelon,17.212215,20.660511,23.150206,18.76329,15.988052,16.455275,17.221743,7.5646043,7.465957,7.6849794,6.9687552,6.1311116,6.675567,7.4719586,,,,,,,
Saint Vincent and the Grenadines,3.693401,3.82718,3.9958436,4.0840755,4.2203956,4.248866,4.2705073,34.43143,42.269283,49.67482,51.19917,51.20543,57.07793,50.04642,,,,,,,
Samoa,2.0620773,2.7603645,3.4381557,3.19716,2.754593,2.1988528,2.0266116,45.984264,48.192883,54.192513,55.21305,56.37181,60.387062,68.40986,,,,,,,
San Marino,13.720776,14.11379,14.730517,14.384122,15.630506,15.614668,16.332724,5.8572373,9.473481,12.723963,9.913382,7.257935,11.085061,7.0923448,,,,,,,
Sao Tome and Principe,4.6824536,3.7485096,3.0682392,2.1800702,1.4969064,1.200367,0.9759948,11.714523,14.627237,17.674885,18.961466,17.146786,17.630453,18.07256,,,,,,,
Saudi Arabia,30.790384,27.48409,25.471485,27.300013,30.742176,33.960136,38.647938,0.6593964,0.7023579,0.7433952,0.7505151,0.7852898,0.8919506,0.85962296,,,7.35,6.99,6.76,6.29,6.85
Senegal,3.5928648,3.3101137,2.3668847,2.1487408,2.0199487,1.8280133,1.6419622,4.9193187,4.1318135,4.0275445,4.242586,4.3184166,4.077985,4.143382,5.4,5.24,5.85,5.75,5.72,6.09,6.08
Serbia,1.042996,8.811891,10.30684,9.298074,9.189759,9.096106,9.419436,7.8017673,9.248266,11.930493,10.448553,10.410123,9.315216,11.490437,,,,5.54,6.38,6.92,6.82
Seychelles,5.2726293,6.7159796,8.11625,10.148671,12.511915,13.466904,13.270287,50.4917,36.264725,23.758612,26.49348,28.411469,28.93526,29.751883,,,6.13,7.31,7.03,7.24,6.75
Sierra Leone,5.1425967,2.2889655,2.137038,2.5900922,1.2354971,0.8202837,0.67376333,1.4318609,10.637361,11.104597,2.690329,1.9753302,1.9422443,1.9115744,2.99,3.87,4.61,5.15,6.05,5.82,5.8
Singapore,24.137728,28.119743,33.55011,40.101196,42.18909,44.408825,43.136753,5.192355,4.7674904,4.7886853,5.525081,5.5040274,5.8052697,5.9563007,8.75,8.73,8.7,8.78,8.69,8.81,8.5
Sint Maarten (Dutch part),,,,39.17634,76.69321,68.293846,67.26598,2.4536684,2.9328713,3.6420588,3.7265222,9.667505,4.826482,5.1093698,,,,,,,
Slovakia,0.7808519,1.2896174,2.1554277,2.4169645,2.7074587,3.2677817,3.6112435,2.5144773,3.5645254,4.658703,5.0348196,4.8231287,6.390907,7.686418,,,,,,,
Slovenia,8.875431,8.759817,10.791715,10.888235,12.420179,11.472388,13.370519,4.557756,5.454753,5.9696336,5.9849753,6.017023,6.5922203,7.7057357,,5.85,6.67,7.09,7.12,7.38,7.06
Small island developing States (SIDS),4.6466265,5.130889,5.7091446,6.4229054,7.223927,7.6645403,7.8830957,10.955216,12.223423,13.53629,13.936186,14.417552,15.211696,16.048592,,,,,,,
Solomon Islands,1.3550562,1.1628942,0.96470505,0.6960789,0.52286494,0.42859536,0.36687738,0.7092722,0.707534,0.6610689,0.63819647,0.6386151,0.64430237,0.6216533,,,,,,,
Somalia,6.6199045,0.2606503,0.22651526,0.19879666,0.3994226,0.2970892,0.36864778,11.737641,12.933818,11.340167,10.155715,13.245957,14.557224,12.799301,,,,,,,5.97
South Africa,3.162682,2.422562,2.2615404,2.8216672,4.129102,5.83488,4.8230624,0.83727103,0.9315335,1.115467,1.2568829,1.4522667,1.420122,1.5426086,5.47,6.64,6.92,6.88,6.74,6.63,6.47
South America,1.4471914,1.3158683,1.209858,1.2184736,1.3340342,1.4744804,2.527505,1.4592466,1.658501,1.8465244,2.3810582,2.8429184,2.8565803,4.0887604,,,,,,,
South Korea,0.1007656,0.2735242,0.5154663,0.9980582,1.8568476,2.697406,3.3708007,3.5256708,3.740653,3.9582908,4.0543523,4.5459523,4.235343,4.299959,,,,,,,
South Sudan,,,,,2.4266193,7.8773704,7.881663,9.375179,8.55875,5.5267963,3.0326312,4.2343316,9.898395,23.011724,,,,,,,
South-Eastern Asia,0.6472098,0.76186895,0.9739297,1.2029582,1.4570695,1.6019322,1.5876551,1.7381366,1.996117,2.302473,2.5905466,3.0344243,3.277263,3.5267775,,,,,,,
Southern Africa,3.318398,2.537485,2.4642296,2.8963864,4.0294714,5.5217924,4.629486,1.3717055,1.2763482,1.4235166,1.6554475,2.0550597,1.7939992,1.8938754,,,,,,,
Southern Asia,1.6420349,1.1596875,1.0264353,0.8572619,0.84154034,0.75900614,0.714479,2.1333685,1.7316399,1.6775959,1.663628,1.9765837,2.1365623,2.2363803,,,,,,,
Southern Europe,3.0246112,4.3165016,5.3033013,8.019997,10.591261,10.332519,11.605728,7.4024687,8.237893,8.734299,7.7067833,7.664664,7.8693776,9.208743,,,,,,,
Spain,2.095796,2.5637932,4.059511,9.33055,13.381476,12.622597,14.634229,3.6706922,3.424221,3.1613522,2.531775,2.316317,2.7195861,3.1864612,6.8,7.31,7.94,7.86,7.67,7.81,7.52
Sri Lanka,0.23987968,0.22387318,0.21372266,0.20223087,0.19227867,0.18990795,0.1879864,5.100403,5.0624027,5.214153,5.891807,7.1775284,7.9216146,9.153328,5.71,6.29,6.54,6.13,6.19,6.56,6.28
Sub-Saharan Africa,2.7081552,2.5457327,2.0559673,1.9583011,1.8956629,2.1617324,2.0305407,3.1256943,2.9404714,2.4447331,2.3673022,2.384456,2.5242841,2.5845602,,,,,,,
Sudan,6.963095,4.371892,2.951734,1.7655172,1.7910225,1.5950539,3.1451995,2.9032502,3.218026,3.247147,4.1281166,3.5756042,4.736407,4.800278,,,4.3,4.45,4.37,4.31,3.84
Suriname,4.463076,5.0514765,5.8406096,6.7396655,7.505396,7.7131505,8.148352,43.89699,43.348324,44.850132,49.810097,48.894783,45.536686,46.57231,,,,5.58,6.38,6.31,5.58
Sweden,9.206635,10.5927725,11.301942,12.455321,14.240593,16.410961,19.842108,2.4037936,2.5536923,2.889218,2.9645321,3.1086168,3.0968723,3.2436109,7.44,7.55,8.08,7.88,7.9,8.03,7.69
Switzerland,20.92753,21.139662,21.987793,24.441336,26.575344,27.217756,28.785198,4.8938255,4.849519,5.1855297,6.7998023,7.996044,7.772357,8.245575,8.59,8.46,8.93,8.52,8.58,8.5,8.41
Syria,5.73783,5.7900424,5.0875864,4.805781,8.349171,4.6435347,4.9638767,4.9837427,4.6096573,4.3085527,4.4297867,4.9494205,35.826504,48.325127,,,,,,,
Tajikistan,8.117248,6.0426493,4.8179398,4.130989,3.7171946,3.2540855,2.8941221,10.176348,9.634773,8.70583,8.634667,7.7669215,6.920496,6.152999,,,6.45,5.99,5.54,5.87,6.23
Tanzania,2.2775292,3.7304401,2.8346965,2.0055826,0.698695,0.7469839,0.7131876,0.8056032,0.772876,0.64318,0.61096495,0.59118944,0.57126445,0.54886967,4.01,5.65,6.14,6.13,6.47,6.57,6.46
Thailand,0.93477696,1.3616229,1.9980433,3.356371,4.8134227,5.050199,5.2041507,0.54266936,0.6926129,0.8435357,0.9656295,1.1448123,1.3413323,1.5572857,6.51,7.41,6.72,6.81,6.67,6.83,7.06
Togo,2.247934,2.4035957,2.8017187,3.6392016,3.9797099,3.7877626,3.3813853,5.1354284,7.3259473,5.4253044,7.231447,6.496406,6.764564,6.58807,5.8,5.09,5.42,5.61,5.3,5.88,6.22
Tokelau,22.44389,33.57664,45.935482,82.68755,99.91142,95.02807,91.703705,104.98753,120.10617,132.96774,172.30008,192.02835,174.09784,156.44444,,,,,,,
Tonga,3.0619864,3.4114118,3.7606418,4.262298,4.4306173,3.9233975,3.5403087,34.359253,39.81161,47.41022,47.90205,49.548473,58.744793,70.53181,,,,,,,
Trinidad and Tobago,4.1491385,3.6671982,3.2950087,3.4563906,3.631082,3.6502833,5.63412,16.16875,20.02408,24.290163,24.906036,26.391489,26.901,23.617086,5.52,6.81,7.09,6.95,6.68,6.83,6.98
Tunisia,0.46083057,0.41496262,0.37822092,0.34669802,0.4059333,0.50565517,0.50890046,5.6481466,5.2264338,5.015931,5.7289176,5.789542,6.9264703,7.6342936,5.7,5.86,6.37,6.33,5.97,6.11,5.91
Turkey,2.158101,2.0794098,2.0255518,1.949986,1.8993586,5.534483,7.17657,4.6603527,4.739099,4.502412,3.795543,3.7453928,3.9138634,4.0448728,,,,,,,
Turkmenistan,8.319811,6.501315,4.8507705,4.480938,3.8917003,3.5285897,3.231868,7.057724,5.7873626,4.968814,4.878149,4.612252,4.286053,4.0216627,,,,,,,
Turks and Caicos Islands,41.782913,43.394367,44.692875,46.53845,52.716026,63.156284,66.501366,19.050764,9.450711,3.6686332,4.2227035,6.727295,6.8206453,6.9450903,,,,,,,
Tuvalu,3.5690236,2.8285654,2.3211243,2.0906272,2.0910559,2.0722587,2.0267978,26.37486,29.447191,27.800255,29.178755,28.618954,28.858456,31.122795,,,,,,,
Uganda,3.1362257,2.9735086,2.470512,2.1430984,1.5200676,2.2267234,3.7609868,1.7954588,1.7732142,2.189313,2.1188755,2.2565815,2.056821,1.7084017,2.97,5.09,6.44,6.52,6.91,6.88,6.81
Ukraine,13.393908,12.1255,11.317172,10.770353,10.523144,10.941591,11.426841,10.775715,11.013196,11.459337,11.870954,11.857674,12.905919,14.03754,,3.47,4.48,5.27,5.47,5.25,6.19
United Arab Emirates,71.45852,75.52974,78.07778,71.51169,85.575424,86.31346,88.12922,4.3479214,4.0548234,3.5443404,2.7378361,1.8199887,1.925143,2.054659,6.42,6.85,6.53,6.77,7.04,6.94,7.31
United Kingdom,6.3889484,7.172652,8.027664,9.829752,11.219172,12.764921,13.787211,6.632287,6.40168,6.5508986,6.875679,6.985411,6.649493,6.97126,8.11,8.06,8.56,8.31,8.08,8.26,7.76
