Country,1990_immigrants,1995_immigrants,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,1990_emigrants,1995_emigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,1990_efScore,1995_efScore,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore
Bhutan,4.4851084,5.2320395,5.437604,6.2087665,7.0634365,7.021164,6.9480515,5.361896,22.065207,20.335052,18.546452,13.411193,7.0603185,6.738879,,,5.79,6.2,6.35,6.85,6.57
Bolivia,1.0744317,1.0967507,1.1006775,1.1670438,1.2225189,1.3156534,1.4059846,3.2730994,3.719858,4.0946894,5.889821,7.76189,7.580757,7.943474,5.47,6.33,6.7,6.37,6.14,5.92,6.03
Bonaire Sint Eustatius and Saba,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.4204457,3.5759223,4.4971156,5.22953,33.737644,29.689472,31.07433,,,,,,,
Bosnia and Herzegovina,1.2546427,1.8144453,2.2113597,1.2558521,1.0510114,1.1254864,1.0985684,19.30716,35.84509,39.899246,39.86464,42.44864,46.46433,51.43963,,,4.42,6.25,6.34,6.8,6.67
Botswana,2.1379344,2.734055,4.5598793,4.705802,4.7739277,4.8593493,4.689013,2.0243154,1.5869472,1.6237123,1.849893,2.2268062,2.607327,2.7028544,5.22,5.54,6.31,6.56,6.41,6.8,6.77
Brazil,0.53590584,0.45769504,0.39166695,0.3430892,0.30280977,0.3473849,0.50795585,0.329764,0.450865,0.53804916,0.641806,0.76407754,0.7356669,0.8925166,4.19,4.37,5.72,6.45,6.54,6.25,6.41
British Virgin Islands,45.943165,52.03294,63.79166,64.98745,61.4333,67.020035,73.30093,17.69112,17.44445,18.131247,17.346144,17.703987,17.558666,17.71009,,,,,,,
Brunei,28.29379,28.523924,28.903309,26.961864,25.882193,24.76007,25.591623,10.174556,11.797571,13.579417,12.410986,11.460912,10.872132,10.3638315,,,,,,,
Bulgaria,0.24328545,0.3870846,0.5421389,0.79451394,1.0274328,1.7195485,2.6532986,6.932787,7.7504044,8.61073,11.809877,14.902105,16.384275,24.222313,4.15,4.74,5.59,7.03,7.35,7.48,7.51
Burkina Faso,3.9683428,4.599698,4.4828153,4.452845,4.321877,3.8909554,3.4635189,11.591501,12.04836,11.021876,10.075239,9.192621,8.384961,7.6511784,,,5.1,5.48,5.66,5.91,6.12
Burundi,6.1245174,4.2567415,1.9694394,2.6174846,2.8507633,2.936004,2.899448,6.1978774,9.028796,11.893531,8.417217,3.2744455,4.527337,4.634725,5.03,4.24,4.64,4.93,4.68,5.66,5.42
Cambodia,0.42754817,0.86551,1.2018273,0.8595867,0.57313323,0.47651523,0.4745567,3.9599373,3.9246182,3.7812576,5.0811267,6.659065,6.9231486,6.6081758,,,6.56,7.06,6.52,6.95,6.81
Cameroon,2.257768,1.7999359,1.4647597,1.4971911,1.4329218,2.1818945,2.1819181,0.983312,1.0215894,1.0590215,1.2475436,1.3710966,1.4978468,1.6613322,5.0,4.94,5.29,5.48,5.77,5.62,5.66
Canada,15.733877,16.680676,18.019634,18.899782,19.800024,20.619884,21.32714,3.6100445,3.6493604,3.7355397,3.6846924,3.7134624,3.5072687,3.4240994,8.06,7.99,8.37,8.35,8.07,8.2,7.86
Cape Verde,2.6426752,2.5833058,2.5753307,2.7427793,2.9175227,2.8440752,2.8396297,27.034233,27.687632,29.152128,30.66384,31.029099,32.669323,33.734184,,,,,,,
Caribbean,3.027415,3.1014802,3.1937153,3.2097256,3.248373,3.5218225,3.6872513,12.155003,13.925744,15.659215,16.370714,17.646704,19.08698,20.855219,,,,,,,
Cayman Islands,36.808,39.383102,45.327976,41.978443,42.45836,42.437744,44.494827,1.4067254,2.4688287,3.0209196,2.6187043,2.477414,2.7689116,2.9032257,,,,,,,
Central African Republic,2.3954482,3.094088,3.3932614,2.3873186,2.1584244,1.8153771,1.83334,1.6515245,1.5268433,1.5222416,3.2540276,5.6062493,15.272599,16.909065,4.27,4.05,4.59,4.58,4.97,4.27,4.88
Central America,1.6139101,1.042856,0.81847304,0.9441835,1.1111196,1.1010501,1.281237,6.0176516,7.4573956,9.036721,9.5776615,10.282578,9.642677,9.01595,,,,,,,
Central Asia,13.228849,11.105682,9.375738,8.957889,8.38298,7.874989,7.484695,11.411734,11.585404,11.676296,11.837316,11.515461,10.847011,10.540243,,,,,,,
Central and Southern Asia,2.1103995,1.5439487,1.3320736,1.1447297,1.1083261,1.0159779,0.96428716,2.5084205,2.1123376,2.0436127,2.0246627,2.3140306,2.4511132,2.5427773,,,,,,,
