,index,Country,1990_immigrants,1995_immigrants,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,1990_emigrants,1995_emigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,1990_efScore,1995_efScore,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore
27,45,Central Asia,13.228849,11.105682,9.375738,8.957889,8.38298,7.874989,7.484695,11.411734,11.585404,11.676296,11.837316,11.515461,10.847011,10.540243,,,,,,,
28,46,Central and Southern Asia,2.1103995,1.5439487,1.3320736,1.1447297,1.1083261,1.0159779,0.96428716,2.5084205,2.1123376,2.0436127,2.0246627,2.3140306,2.4511132,2.5427773,,,,,,,
29,48,Channel Islands,43.830902,42.179398,43.31813,46.772026,48.57374,49.766304,48.365055,13.311344,10.890717,8.639913,9.76766,9.829199,9.957857,9.868917,,,,,,,
30,52,Comoros,3.4205706,2.9320943,2.5442605,2.1596568,1.8295017,1.614926,1.4369907,9.737413,10.788945,12.999164,15.719273,15.822188,15.660345,17.344051,,,,,,,5.73
31,53,Congo,5.4902534,7.077848,9.780586,8.797786,9.948504,8.034072,7.024276,4.0891232,4.2724147,4.3241715,4.76458,4.1675696,4.2179794,4.055152,,,,,,,
32,54,Cook Islands,14.218192,14.059147,15.528296,17.18406,20.492605,23.70741,26.070372,96.09783,89.02905,108.603294,102.67436,111.76598,122.60395,120.16625,,,,,,,
33,56,Cote d'Ivoire,15.232246,14.622741,13.149126,12.340779,11.525561,10.637205,9.723369,3.0720327,3.1655326,3.2770898,3.987913,4.5770106,4.548236,4.356987,,,,,,,
34,57,Croatia,9.95396,14.600815,13.217888,13.231254,13.244603,13.255604,12.862887,8.90936,15.924858,20.48364,19.165632,18.955086,19.047153,25.321756,,4.39,5.83,6.41,6.78,7.28,7.05
35,58,Cuba,0.32608327,0.24050705,0.16667531,0.103830844,0.065678865,0.04105158,0.026698178,7.88125,8.5796,9.417124,10.3032465,11.711728,13.296747,15.514784,,,,,,,
36,59,Curacao,,,,,23.212322,23.528933,34.86289,1.4344249,1.9801222,2.859694,3.5485952,30.329515,3.903034,4.6380253,,,,,,,
37,61,Czechia,1.0675497,1.5986577,2.1457963,3.144227,3.7820194,3.928296,5.0510964,5.461297,5.988363,7.029903,7.331311,7.3974943,7.7327223,9.581751,,6.46,7.11,7.51,7.69,7.96,7.71
38,62,Democratic Republic of Congo,2.1789942,4.370196,1.580244,1.1371704,0.9136413,1.0623949,1.0639304,1.26116,1.3464999,1.8300049,2.0641663,2.0112555,2.0620785,2.045601,,,,,,,
39,64,Developed regions,7.2253737,7.946692,8.748364,9.649099,10.573833,11.17237,12.350029,4.524304,4.5313835,4.5826454,4.6767397,4.906767,4.982644,5.483008,,,,,,,
40,65,Djibouti,20.701633,15.827471,14.006441,11.760004,12.176593,12.292259,12.119206,0.89906216,1.1047217,1.2618854,1.5304221,1.6421208,1.8565687,1.8588018,,,,,,,6.43
41,66,Dominica,3.5770073,4.3892837,5.345298,6.721451,11.442358,11.370565,11.506994,57.5999,62.17565,69.31084,90.72967,103.81789,101.981026,108.61219,,,,,,,
42,68,East Timor,1.213585,1.1539286,1.1988249,1.1341232,1.0553105,0.7121995,0.6370398,1.5262654,9.36242,16.773485,9.542572,3.2040656,3.1200526,3.002635,,,,,,,
43,69,Eastern Africa,3.0223827,2.222815,1.883449,1.6222513,1.3979981,1.718608,1.7249,3.9482715,3.454038,2.3625076,2.0979178,2.2174466,2.5211737,2.7003007,,,,,,,
44,70,Eastern Asia,0.28415754,0.31680056,0.35485396,0.39820448,0.44007137,0.47816312,0.53487784,0.5059103,0.55761796,0.615397,0.7045153,0.80152154,0.87635946,0.88314736,,,,,,,
45,71,Eastern Europe,7.0996447,6.8977704,6.7241025,6.6368136,6.480992,6.7373004,7.1107383,7.9983797,7.8105507,7.8378468,8.589828,9.352553,9.790598,10.987338,,,,,,,
46,72,Eastern and South-Eastern Asia,0.37196025,0.42763412,0.51380414,0.61068374,0.7157969,0.7908705,0.834833,0.8039192,0.91584146,1.0485606,1.2024844,1.4068995,1.5444506,1.6363653,,,,,,,
47,74,Egypt,0.30967242,0.26783928,0.2684437,0.37737355,0.374592,0.3825522,0.53152895,2.3549075,2.3935628,2.48185,2.3938763,3.125428,3.4086783,3.5281007,,,,,,,
48,76,Equatorial Guinea,0.6536447,0.7305221,0.7451582,0.87895435,0.9175109,17.937317,16.437666,8.62978,9.342792,9.886502,9.577908,8.943029,10.007659,9.178573,,,,,,,
