Country,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore,2000_netMigration,2005_netMigration,2010_netMigration,2015_netMigration,2020_netMigration
Burundi,1.9694394,2.6174846,2.8507633,2.936004,2.899448,11.893531,8.417217,3.2744455,4.527337,4.634725,4.64,4.93,4.68,5.66,5.42,-9.924091599999999,-5.799732400000001,-0.4236822,-1.591333,-1.7352770000000004
Cambodia,1.2018273,0.8595867,0.57313323,0.47651523,0.4745567,3.7812576,5.0811267,6.659065,6.9231486,6.6081758,6.56,7.06,6.52,6.95,6.81,-2.5794303000000003,-4.22154,-6.08593177,-6.44663337,-6.1336191
Cameroon,1.4647597,1.4971911,1.4329218,2.1818945,2.1819181,1.0590215,1.2475436,1.3710966,1.4978468,1.6613322,5.29,5.48,5.77,5.62,5.66,0.40573820000000005,0.24964750000000002,0.061825199999999914,0.6840476999999998,0.5205858999999999
Canada,18.019634,18.899782,19.800024,20.619884,21.32714,3.7355397,3.6846924,3.7134624,3.5072687,3.4240994,8.37,8.35,8.07,8.2,7.86,14.2840943,15.215089599999999,16.0865616,17.112615299999998,17.9030406
Central African Republic,3.3932614,2.3873186,2.1584244,1.8153771,1.83334,1.5222416,3.2540276,5.6062493,15.272599,16.909065,4.59,4.58,4.97,4.27,4.88,1.8710198,-0.8667090000000002,-3.4478249,-13.4572219,-15.075724999999998
Chad,1.2545397,3.4875994,3.489201,3.309255,3.3331225,2.4660187,2.0864487,1.6936139,1.3554631,1.3533721,5.16,4.83,4.82,5.06,5.26,-1.2114789999999998,1.4011507,1.7955871,1.9537919,1.9797504
Chile,1.1558334,1.7077483,2.2000723,3.5600832,8.605341,3.3371487,3.3476772,3.3514488,3.439272,3.3678226,7.68,8.05,8.08,8.0,7.64,-2.1813153000000005,-1.6399289000000001,-1.1513765,0.1208111999999999,5.237518399999999
China,0.03936567,0.051018864,0.06208755,0.069520384,0.07223357,0.4560006,0.55134815,0.63665843,0.7279264,0.72681147,5.73,5.69,5.87,6.07,6.16,-0.41663492999999996,-0.500329286,-0.57457088,-0.6584060159999999,-0.6545779
Colombia,0.2765811,0.24977413,0.28814954,0.33544773,3.744664,3.6183226,4.4173603,5.6476507,5.6789775,5.943596,5.96,6.5,6.62,6.57,6.51,-3.3417415,-4.167586170000001,-5.35950116,-5.34352977,-2.198932
Costa Rica,7.847477,8.36303,8.864892,8.492441,10.22217,2.655659,2.7445548,2.8906767,2.851538,2.949306,7.68,7.36,7.33,7.7,7.62,5.191818,5.618475200000001,5.974215299999999,5.640903,7.272864
Croatia,13.217888,13.231254,13.244603,13.255604,12.862887,20.48364,19.165632,18.955086,19.047153,25.321756,5.83,6.41,6.78,7.28,7.05,-7.265752000000001,-5.934377999999999,-5.710483000000002,-5.791549000000002,-12.458869
Cyprus,8.48903,11.954281,16.939522,15.219206,15.767116,16.279333,14.982918,14.692478,14.348566,14.346166,6.67,7.74,7.74,7.9,7.48,-7.7903030000000015,-3.028637,2.2470440000000007,0.8706399999999999,1.4209499999999995
